Frame,Time (Seconds),X,Y,Z,X8_B1,Y8_B1,Z8_B1,X,Y,Z,X8_B2,Y8_B2,Z8_B2
0,0,148.259338,-14.47382,172.948166,-264.588776,1449.295288,110.267021,-1.098405,-6.014493,-2.642502,-252.219833,1349.016846,100.084526
1,0.002778,148.269302,-14.479547,172.938583,-264.595856,1449.288208,110.261826,-1.087101,-6.059676,-2.565212,-252.227997,1349.025879,100.062592
2,0.005556,148.300339,-14.476675,172.92775,-264.597046,1449.281738,110.265816,-0.980775,-6.025134,-2.591058,-252.230652,1349.00293,100.057884
3,0.008333,148.326797,-14.470811,172.901169,-264.595306,1449.284912,110.275757,-0.984072,-6.037798,-2.610683,-252.240479,1349.008545,100.07209
4,0.011111,148.312012,-14.480607,172.870117,-264.611145,1449.281494,110.273346,-0.979296,-6.064865,-2.59808,-252.242661,1349.012207,100.096573
5,0.013889,148.349991,-14.476412,172.873245,-264.604553,1449.273315,110.258675,-0.955145,-6.042329,-2.627248,-252.251572,1348.999268,100.074341
6,0.016667,148.33783,-14.428762,172.867233,-264.616608,1449.27124,110.269577,-0.907192,-6.058147,-2.621454,-252.259277,1348.99292,100.079826
7,0.019444,148.94368,-13.89867,172.494568,-264.88147,1449.08252,110.374176,-0.920034,-6.042295,-2.676705,-252.263016,1348.995605,100.081535
8,0.022222,148.624527,-14.00583,172.722229,-264.98233,1449.210693,110.453094,-0.846931,-6.05579,-2.639485,-252.261902,1348.991455,100.074402
9,0.025,148.552979,-14.025387,172.852249,-265.006378,1449.235474,110.454086,-0.859349,-6.072318,-2.702684,-252.277405,1348.990479,100.077316
10,0.027778,148.376556,-14.426582,172.832886,-264.612244,1449.269409,110.272316,-0.807663,-6.050341,-2.678409,-252.278534,1348.991455,100.073517
11,0.030556,148.400116,-14.3874,172.891541,-264.630676,1449.264526,110.25341,-0.774039,-6.063859,-2.671934,-252.279282,1348.994263,100.076828
12,0.033333,148.386948,-14.381723,172.911575,-264.636719,1449.264893,110.267159,-0.741551,-6.055272,-2.669796,-252.281723,1349.00061,100.077225
13,0.036111,148.338882,-14.456753,172.867432,-264.63031,1449.277466,110.248291,-0.921075,-5.870243,-3.680368,-252.371643,1349.126953,100.08075
14,0.038889,148.4216,-14.459889,172.948486,-264.632538,1449.267334,110.266945,-0.911779,-5.902776,-3.64761,-252.374329,1349.126465,100.069649
15,0.041667,148.38092,-14.433076,172.938599,-264.640015,1449.276245,110.267334,-0.806245,-6.031454,-2.721488,-252.292099,1349.01355,100.064278
16,0.044444,148.397537,-14.467087,172.968307,-264.637543,1449.266479,110.256065,-0.801031,-6.035593,-2.75253,-252.290634,1349.020264,100.067703
17,0.047222,148.40596,-14.499698,172.96344,-264.632568,1449.272339,110.259239,-0.980993,-5.872515,-3.657621,-252.372299,1349.134888,100.052834
18,0.05,148.387344,-14.54002,172.998062,-264.625977,1449.268799,110.259308,-0.788665,-6.044114,-2.732995,-252.279999,1349.015015,100.071426
19,0.052778,148.416092,-14.534651,173.01355,-264.62265,1449.279175,110.254021,-0.813667,-6.024811,-2.743499,-252.278748,1349.015625,100.043571
20,0.055556,148.393478,-14.532457,173.035416,-264.64093,1449.277466,110.26281,-0.948797,-5.83937,-3.731459,-252.36145,1349.145874,100.059082
21,0.058333,148.438187,-14.568005,173.059982,-264.627075,1449.27124,110.257904,-1.003038,-5.836925,-3.767864,-252.357101,1349.141602,100.062912
22,0.061111,148.43689,-14.534776,173.043655,-264.626831,1449.283936,110.267708,-0.839789,-6.024691,-2.721832,-252.263458,1349.028687,100.069626
23,0.063889,148.390488,-14.570504,173.07962,-264.609985,1449.284058,110.259117,-0.932457,-5.991694,-2.73918,-252.260559,1349.033203,100.06369
24,0.066667,148.389221,-14.546844,173.059937,-264.609039,1449.281372,110.262871,-0.941739,-5.979425,-2.723082,-252.253922,1349.028076,100.057816
25,0.069444,148.36113,-14.571664,173.02449,-264.604797,1449.286743,110.276871,-1.000775,-5.993523,-2.748485,-252.248917,1349.029175,100.063644
26,0.072222,148.366089,-14.543736,173.044876,-264.609741,1449.28479,110.262817,-1.021697,-5.99423,-2.740204,-252.24852,1349.030029,100.063919
27,0.075,148.31282,-14.495492,173.056458,-264.607269,1449.290161,110.276009,-1.101262,-5.983462,-2.707945,-252.243973,1349.023682,100.067566
28,0.077778,148.230026,-14.561764,172.965668,-264.596313,1449.291016,110.259064,-1.157449,-5.993888,-2.683542,-252.245102,1349.02417,100.083366
29,0.080556,148.273224,-14.522018,173.010681,-264.606171,1449.284546,110.27095,-1.178604,-6.002694,-2.711974,-252.238388,1349.019043,100.065056
30,0.083333,148.162811,-14.515752,172.950424,-264.596375,1449.287598,110.264748,-1.21812,-6.006727,-2.738619,-252.235718,1349.008911,100.066574
31,0.086111,-85.178886,-78.736847,118.515297,-262.928284,1449.31189,111.015785,-1.263387,-6.01953,-2.71455,-252.241257,1349.016602,100.063553
32,0.088889,149.377075,-13.792756,171.937775,-264.679993,1448.876709,110.273323,-1.307939,-6.028457,-2.713719,-252.23848,1349.011963,100.067749
33,0.091667,-85.102592,-78.828018,118.603943,-262.91983,1449.312988,111.018982,-1.308564,-6.03119,-2.665968,-252.241455,1349.003784,100.074898
34,0.094444,148.281021,-14.298062,172.797241,-264.629822,1449.244873,110.259178,-1.339294,-6.035741,-2.649806,-252.244537,1349.001709,100.06044
35,0.097222,-85.182091,-78.84111,118.524712,-262.91748,1449.313965,111.017365,-1.296481,-6.048481,-2.668595,-252.240005,1348.995605,100.052147
36,0.1,149.391708,-13.741167,171.89357,-264.680939,1448.865479,110.268692,-1.275925,-6.063767,-2.562892,-252.238007,1348.996338,100.063683
37,0.102778,-85.347084,-78.867584,118.275681,-262.911896,1449.313843,111.018898,-1.329116,-6.085101,-2.615999,-252.240295,1349.001221,100.052216
38,0.105556,145.580292,-15.642913,175.027527,-264.645325,1450.178101,110.397713,-1.268694,-6.071764,-2.668505,-252.242889,1348.987671,100.063408
39,0.108333,-2.822801,22.900848,3.923746,-263.712982,1450.249756,109.207527,-1.215188,-6.102067,-2.601191,-252.234909,1348.992798,100.064255
40,0.111111,144.848984,-16.32719,175.715942,-264.520203,1450.459473,110.413589,-1.190702,-6.084645,-2.596725,-252.241974,1348.990967,100.056091
41,0.113889,148.235916,-14.438439,172.863586,-264.590851,1449.271362,110.255539,-1.091635,-6.107964,-2.554909,-252.240067,1348.985474,100.060478
42,0.116667,148.278671,-14.447133,172.863495,-264.600159,1449.269897,110.253052,-1.033379,-6.084259,-2.632334,-252.24501,1348.993408,100.076004
43,0.119444,148.32106,-14.478024,172.879944,-264.589874,1449.264526,110.256241,-0.929373,-6.111598,-2.578403,-252.251984,1348.986572,100.074409
44,0.122222,148.357956,-14.486856,172.923889,-264.591461,1449.265503,110.269592,-0.87687,-6.129815,-2.626802,-252.243317,1348.993408,100.078964
45,0.125,148.35408,-14.483352,172.904739,-264.597412,1449.269653,110.25737,-0.781754,-6.079141,-2.594193,-252.247162,1348.993896,100.076645
46,0.127778,148.456558,-14.514345,172.972214,-264.594391,1449.261353,110.266838,-0.698941,-6.116822,-2.561306,-252.247833,1348.994019,100.092186
47,0.130556,148.452728,-14.558515,172.949158,-264.585876,1449.258423,110.269348,-0.668233,-6.121061,-2.534114,-252.248047,1349.000244,100.0942
48,0.133333,148.4505,-14.540275,172.963058,-264.585114,1449.266479,110.275475,-0.625884,-6.091797,-2.59923,-252.237503,1349.010376,100.097847
49,0.136111,148.489838,-14.53585,173.013153,-264.591553,1449.272339,110.282784,-0.62826,-6.123905,-2.605809,-252.246048,1349.023804,100.089622
50,0.138889,148.532303,-14.533706,172.999008,-264.595978,1449.273438,110.283585,-0.601888,-6.082782,-2.611241,-252.233475,1349.018311,100.090332
51,0.141667,148.522079,-14.578617,173.00354,-264.58551,1449.280884,110.275215,-0.625527,-6.089758,-2.676059,-252.238876,1349.026489,100.083611
52,0.144444,148.560196,-14.599922,173.019287,-264.584351,1449.276367,110.280907,-0.60888,-6.058467,-2.7466,-252.241074,1349.02478,100.098251
53,0.147222,148.487244,-14.570616,173.0215,-264.590057,1449.290771,110.280479,-0.606427,-6.042192,-2.662824,-252.229416,1349.032227,100.111107
54,0.15,148.473969,-14.586354,173.012405,-264.588898,1449.291016,110.281227,-0.653737,-6.035206,-2.676302,-252.234161,1349.038086,100.095337
55,0.152778,148.511139,-14.573657,173.021637,-264.591827,1449.291382,110.269005,-0.737454,-6.025648,-2.643937,-252.227814,1349.040771,100.083176
56,0.155556,148.442032,-14.584124,172.975861,-264.581818,1449.303833,110.289749,-0.792295,-6.020071,-2.704416,-252.231323,1349.036499,100.103699
57,0.158333,148.375168,-14.554473,172.938126,-264.597382,1449.309204,110.259499,-0.843321,-5.995104,-2.730852,-252.226654,1349.043823,100.105728
58,0.161111,148.316589,-14.557063,172.921616,-264.591431,1449.311279,110.265388,-0.909646,-6.004085,-2.688,-252.22406,1349.03894,100.074608
59,0.163889,148.310562,-14.51803,172.918884,-264.598053,1449.313232,110.277725,-0.985304,-5.964195,-2.72086,-252.22522,1349.041504,100.086136
60,0.166667,148.244888,-14.533462,172.866898,-264.595123,1449.319946,110.260742,-1.054184,-5.97428,-2.714578,-252.219742,1349.03833,100.064476
61,0.169444,148.362381,-14.368524,172.790817,-264.60965,1449.268066,110.259331,-1.115282,-5.979119,-2.675458,-252.213089,1349.029053,100.062218
62,0.172222,148.319138,-14.398795,172.729889,-264.616272,1449.270386,110.243324,-1.208259,-5.968775,-2.758479,-252.219177,1349.032104,100.072319
63,0.175,-85.054878,-78.833282,118.529343,-262.913452,1449.334839,111.013298,-1.448066,-5.893693,-2.793308,-252.196396,1349.050293,100.039093
64,0.177778,149.354156,-13.746723,171.845581,-264.684052,1448.886963,110.276993,-1.496782,-5.87377,-2.767839,-252.200104,1349.047485,100.054565
65,0.180556,-3.783259,23.388651,5.880863,-263.766846,1450.388916,109.196747,-1.590022,-5.876644,-2.757292,-252.200928,1349.043579,100.031693
66,0.183333,-85.867569,-79.149139,118.690315,-262.870361,1449.355957,111.050186,-1.618803,-5.889711,-2.768045,-252.205933,1349.041016,100.041611
67,0.186111,-85.643303,-79.163895,118.931519,-262.877319,1449.355469,111.035477,-1.61971,-5.880752,-2.802377,-252.201431,1349.036621,100.040764
68,0.188889,-85.758881,-79.141647,118.778656,-262.877716,1449.353638,111.04834,-1.600354,-5.894931,-2.726043,-252.205215,1349.033325,100.032967
69,0.191667,-85.952995,-79.161827,118.628807,-262.879883,1449.352783,111.048042,-1.612591,-5.916312,-2.75088,-252.201202,1349.032227,100.042397
70,0.194444,149.339127,-13.712383,171.819321,-264.690582,1448.870728,110.256172,-1.550595,-5.91644,-2.706014,-252.207779,1349.029175,100.034775
71,0.197222,-85.459953,-77.330772,117.64341,-262.99054,1449.642822,111.01873,-1.517357,-5.901152,-2.750623,-252.208084,1349.028198,100.034241
72,0.2,149.415802,-13.765295,171.909698,-264.707825,1448.862915,110.267899,-1.313555,-5.995072,-2.701898,-252.228622,1349.007446,100.054642
73,0.202778,-85.510857,-77.265137,117.509796,-262.992676,1449.638916,111.024078,-1.249792,-6.013096,-2.623172,-252.232788,1349.015015,100.057716
74,0.205556,148.398972,-14.305074,172.89592,-264.652527,1449.238892,110.250595,-1.203741,-6.010393,-2.703808,-252.235138,1349.019775,100.046997
75,0.208333,148.279175,-14.444363,173.007034,-264.615448,1449.290161,110.248177,-1.113176,-6.009042,-2.722479,-252.23616,1349.022217,100.047852
