Frame,Time (Seconds),X,Y,Z,X18_B1,Y18_B1,Z18_B1,X,Y,Z,X18_B2,Y18_B2,Z18_B2
0,0,-3.210404,23.777412,5.719197,-264.136536,1450.169067,109.478592,-1.305354,-5.876369,-3.492732,-252.615845,1348.698608,100.159004
1,0.002778,-3.252862,23.741684,5.720648,-264.127197,1450.173706,109.473282,-1.28504,-5.912649,-3.410986,-252.617188,1348.710693,100.174294
2,0.005556,-3.232444,23.721495,5.667455,-264.131744,1450.173828,109.475975,-1.281273,-5.8892,-3.543351,-252.625015,1348.708862,100.16922
3,0.008333,148.046249,-15.11747,173.004608,-264.79422,1449.354614,110.474113,-1.185227,-5.902518,-3.484447,-252.621735,1348.712158,100.163536
4,0.011111,148.087692,-15.154795,173.026047,-264.796509,1449.356689,110.466209,-1.122126,-5.944172,-3.496697,-252.620605,1348.709839,100.164291
5,0.013889,,,,,,,,,,,,
6,0.016667,,,,,,,,,,,,
7,0.019444,,,,,,,,,,,,
8,0.022222,,,,,,,,,,,,
9,0.025,,,,,,,,,,,,
10,0.027778,148.695374,-14.47396,172.676895,-264.981659,1449.209717,110.479485,-0.898027,-5.831492,-4.262185,-252.692673,1348.910156,100.223869
11,0.030556,144.425552,-19.658012,175.60025,-264.108307,1450.892456,111.106461,-0.858622,-5.841154,-4.24042,-252.694122,1348.916992,100.235451
12,0.033333,148.693039,-14.393847,172.615952,-264.956848,1449.22937,110.473221,-0.827996,-5.841048,-4.232319,-252.691391,1348.927734,100.25032
13,0.036111,144.733414,-19.203518,175.294083,-264.178467,1450.781494,111.049706,-0.793579,-5.846546,-4.184029,-252.681168,1348.923706,100.262344
14,0.038889,144.631546,-20.177086,175.431671,-264.06958,1450.992432,111.226181,-0.833756,-5.844871,-4.208722,-252.680862,1348.937866,100.257767
15,0.041667,,,,,,,,,,,,
16,0.044444,,,,,,,,,,,,
17,0.047222,,,,,,,,,,,,
18,0.05,,,,,,,,,,,,
19,0.052778,,,,,,,,,,,,
20,0.055556,,,,,,,,,,,,
21,0.058333,-2.205385,23.582432,2.948985,-264.185486,1450.365479,109.743683,-0.889799,-5.845922,-4.094557,-252.676193,1348.956299,100.258682
22,0.061111,-2.17271,23.641445,2.921763,-264.18808,1450.349976,109.755142,-0.946008,-5.792273,-4.138145,-252.676666,1348.948242,100.254066
23,0.063889,144.489014,-18.984629,175.439255,-264.174774,1450.937256,111.042587,-0.969128,-5.804878,-4.201149,-252.67247,1348.952271,100.248482
24,0.066667,-2.380475,23.740564,3.980484,-264.148254,1450.333008,109.671432,-0.965759,-5.794366,-4.297709,-252.675323,1348.949585,100.265282
25,0.069444,-2.246624,23.654297,2.93784,-264.19632,1450.336914,109.73101,-0.992733,-5.793272,-4.238755,-252.674606,1348.93811,100.24456
26,0.072222,-2.602864,23.401754,3.816047,-264.057831,1450.213989,109.49366,-1.010183,-5.773208,-4.365082,-252.682419,1348.940308,100.244598
27,0.075,144.324646,-19.547813,175.346069,-264.122192,1450.909546,111.097748,-0.969691,-5.756333,-4.335886,-252.680511,1348.930664,100.251099
28,0.077778,144.287064,-17.365911,176.541977,-264.702606,1450.937744,110.970764,-0.933852,-5.752124,-4.26276,-252.683258,1348.9104,100.217247
29,0.080556,148.574921,-13.611313,172.683044,-265.145416,1449.286865,110.655785,-1.087547,-5.897661,-3.569178,-252.618607,1348.758423,100.182487
30,0.083333,-2.485615,23.313423,4.261819,-263.999084,1450.2052,109.294693,-1.037812,-5.895391,-3.555583,-252.623291,1348.743408,100.174927
31,0.086111,148.075409,-14.238345,172.992599,-264.989014,1449.433838,110.668434,-1.081508,-5.8881,-3.642973,-252.619949,1348.735352,100.179771
32,0.088889,148.142334,-15.077681,172.929688,-264.804535,1449.359253,110.474197,-1.072909,-5.907509,-3.594759,-252.618011,1348.731812,100.182281
33,0.091667,,,,,,,,,,,,
34,0.094444,,,,,,,,,,,,
35,0.097222,,,,,,,,,,,,
36,0.1,148.160172,-15.110163,173.004471,-264.802185,1449.341919,110.474892,-0.989571,-5.953043,-3.44664,-252.600464,1348.713257,100.201401
37,0.102778,148.169586,-15.076668,173.004776,-264.799438,1449.332275,110.473907,-1.02548,-5.95212,-3.483151,-252.604721,1348.709106,100.175858
