Frame,Time (Seconds),X,Y,Z,X12_B1,Y12_B1,Z12_B1,X,Y,Z,X12_B2,Y12_B2,Z12_B2
0,0,148.506134,-14.722454,173.311234,-264.639404,1449.317993,110.276344,-0.966495,-5.860438,-3.690697,-252.461548,1349.227295,100.042862
1,0.002778,148.515015,-14.726315,173.299011,-264.637634,1449.317139,110.275513,-1.020142,-5.861334,-3.722632,-252.467575,1349.237671,100.03167
2,0.005556,148.478668,-14.707011,173.262207,-264.638123,1449.32312,110.279274,-1.010365,-5.851172,-3.732697,-252.457855,1349.233765,100.036095
3,0.008333,148.51651,-14.746345,173.237381,-264.624268,1449.311279,110.26815,-0.973152,-5.81841,-3.670918,-252.455231,1349.219482,100.042076
4,0.011111,148.454071,-14.736275,173.213623,-264.628448,1449.317017,110.274834,-1.051951,-5.826846,-3.747838,-252.455917,1349.206177,100.041656
5,0.013889,148.473572,-14.717462,173.217194,-264.642029,1449.30481,110.286102,-1.121723,-5.798732,-3.782855,-252.466736,1349.192261,100.050392
6,0.016667,148.397736,-14.747986,173.160233,-264.63797,1449.298584,110.276299,-1.338089,-5.657685,-3.86918,-252.434677,1349.201538,100.045891
7,0.019444,-4.2245,23.118357,4.239503,-263.783356,1450.752441,109.319344,-1.214037,-5.765729,-3.782774,-252.45929,1349.162598,100.068031
8,0.022222,148.316315,-14.680059,173.147598,-264.657745,1449.276001,110.294418,-1.522465,-5.630062,-3.913237,-252.445129,1349.182251,100.065895
9,0.025,148.283569,-14.664973,173.175415,-264.658112,1449.262085,110.287292,-1.550727,-5.617931,-3.977923,-252.446945,1349.149658,100.055763
10,0.027778,-84.942696,-78.47934,118.851402,-262.969574,1449.270508,111.011551,-1.621964,-5.647084,-3.97136,-252.445999,1349.141357,100.061295
11,0.030556,-84.823853,-78.523544,119.021965,-262.982147,1449.259888,111.016266,-1.665524,-5.623121,-3.97966,-252.449905,1349.134399,100.042404
12,0.033333,-84.888481,-78.541176,118.957062,-262.966248,1449.244019,111.01844,-1.642238,-5.628109,-3.955413,-252.44635,1349.119019,100.052467
13,0.036111,-3.312252,23.81695,5.285276,-263.977264,1450.158447,109.355255,-1.726298,-5.651296,-3.969069,-252.449844,1349.117554,100.047951
14,0.038889,-84.90625,-78.593391,118.983223,-262.95813,1449.238403,111.01284,-1.744447,-5.662154,-4.023081,-252.457138,1349.107544,100.050652
15,0.041667,-85.472771,-79.051262,119.359566,-262.932861,1449.219238,111.055511,-1.757248,-5.658984,-3.974104,-252.455948,1349.10498,100.038086
16,0.044444,-3.362857,23.858631,5.425301,-263.978058,1450.170654,109.34552,-1.765253,-5.668999,-3.961622,-252.460266,1349.105713,100.037987
17,0.047222,-4.98727,23.3822,6.416049,-263.847748,1450.29248,109.20507,-1.723856,-5.678301,-3.968622,-252.455475,1349.112793,100.043877
