Frame,Time (Seconds),X,Y,Z,X20_B1,Y20_B1,Z20_B1,X,Y,Z,X20_B2,Y20_B2,Z20_B2
0,0,144.722321,-17.953264,176.064407,-264.605621,1450.824097,110.797256,-0.879069,-5.783142,-4.345622,-252.531982,1349.054077,100.145821
1,0.002778,144.539063,-18.297073,176.394516,-264.557251,1450.956055,110.832375,-0.736216,-5.776799,-4.340268,-252.542969,1349.041138,100.15612
2,0.005556,146.026962,-17.050133,174.825638,-264.694092,1450.314209,110.765114,-0.665577,-5.764353,-4.347449,-252.548691,1349.037842,100.152199
3,0.008333,144.936737,-18.181005,176.059799,-264.542267,1450.7771,110.832405,-0.650702,-5.770079,-4.432821,-252.555817,1349.038818,100.1623
4,0.011111,144.647705,-18.64761,176.332748,-264.475403,1450.949707,110.884163,-0.57011,-5.778501,-4.37955,-252.5616,1349.033936,100.170601
5,0.013889,,,,,,,,,,,,
6,0.016667,144.713715,-18.509609,176.25029,-264.503143,1450.926758,110.87101,-0.55232,-5.836481,-4.336973,-252.562286,1349.027832,100.180405
7,0.019444,,,,,,,,,,,,
8,0.022222,144.774323,-19.590225,175.880875,-264.233704,1450.945557,111.070786,-0.553239,-5.803977,-4.271889,-252.570724,1349.002563,100.157234
9,0.025,144.69754,-19.401119,175.863434,-264.269836,1450.930176,111.043198,-0.670807,-5.851962,-4.285584,-252.573822,1348.999023,100.160324
10,0.027778,144.667969,-19.509689,175.807587,-264.244995,1450.94104,111.070168,-0.756925,-5.877481,-4.285882,-252.578918,1348.980103,100.167305
11,0.030556,,,,,,,,,,,,
12,0.033333,,,,,,,,,,,,
13,0.036111,,,,,,,,,,,,
14,0.038889,,,,,,,,,,,,
15,0.041667,-2.609523,23.693027,4.247056,-264.167999,1450.359741,109.642815,-1.31993,-5.897967,-4.186961,-252.570572,1348.964111,100.154533
16,0.044444,144.489471,-19.373632,175.348053,-264.091827,1450.878296,111.094543,-1.391935,-5.914642,-4.160441,-252.561218,1348.960938,100.160828
17,0.047222,,,,,,,,,,,,
18,0.05,,,,,,,,,,,,
19,0.052778,149.317383,-13.478751,171.483704,-264.869141,1448.875244,110.416344,-1.614341,-5.926757,-4.078588,-252.551819,1348.956543,100.129288
20,0.055556,-85.340042,-79.269814,117.822762,-263.065216,1449.312134,111.136543,-1.666203,-5.941372,-4.158524,-252.545151,1348.969849,100.129974
21,0.058333,149.541016,-12.457694,171.539719,-265.101563,1448.853882,110.623344,-1.745358,-5.915092,-4.236879,-252.535583,1348.977539,100.136597
22,0.061111,-89.256279,-79.500046,113.947716,-262.987488,1449.352539,111.298203,-1.710171,-5.939622,-4.107798,-252.528427,1348.980591,100.143684
23,0.063889,149.476593,-13.340907,171.30159,-264.87149,1448.832031,110.421982,-1.696486,-5.954924,-4.118994,-252.53389,1349.004028,100.145493
24,0.066667,,,,,,,,,,,,
25,0.069444,145.012039,-15.30669,175.445984,-264.979523,1450.437256,110.459938,-1.642727,-5.925434,-4.09734,-252.546692,1349.00415,100.122261
26,0.072222,-85.054871,-79.373039,118.220741,-263.075775,1449.271606,111.118095,-1.641635,-5.925818,-4.219547,-252.544617,1349.007935,100.119324
27,0.075,144.258759,-19.188025,175.318375,-264.164246,1450.881714,111.037094,-1.506755,-5.944726,-4.180757,-252.544876,1349.000732,100.129913
28,0.077778,149.673538,-13.497529,171.561218,-264.926727,1448.843018,110.453819,-1.447678,-5.94902,-4.180566,-252.546402,1349.007324,100.118492
29,0.080556,-88.922562,-79.463188,114.599358,-263.024689,1449.317505,111.300568,-1.369363,-5.911836,-4.289147,-252.54747,1349.006836,100.114586
30,0.083333,148.499893,-14.557416,172.527283,-264.900238,1449.260254,110.468735,-1.269534,-5.922203,-4.244117,-252.549026,1349.006226,100.122429
31,0.086111,148.575775,-14.576783,172.671112,-264.941162,1449.252197,110.502991,-1.196572,-5.922141,-4.286991,-252.550186,1349.003906,100.12973
32,0.088889,148.537766,-14.697814,172.72731,-264.908875,1449.262939,110.504539,-1.120924,-5.87443,-4.391225,-252.568604,1349.00293,100.153755
33,0.091667,,,,,,,,,,,,
34,0.094444,,,,,,,,,,,,
35,0.097222,147.598999,-15.298417,173.373337,-264.899719,1449.630005,110.64386,-0.866912,-5.865409,-4.299413,-252.56279,1348.993164,100.156128
36,0.1,148.681808,-14.812857,172.757843,-264.951294,1449.253296,110.541092,-0.858185,-5.869522,-4.310626,-252.575226,1348.984009,100.159973
37,0.102778,144.707855,-19.997231,175.863449,-264.149536,1450.95166,111.121849,-0.727877,-5.846759,-4.433653,-252.573288,1348.971558,100.17688
38,0.105556,148.721558,-14.775627,172.778946,-264.945831,1449.243042,110.544434,-0.695598,-5.862336,-4.355665,-252.573166,1348.984497,100.18573
39,0.108333,144.76442,-19.873167,175.890335,-264.173615,1450.934448,111.112686,-0.623221,-5.846742,-4.289534,-252.576477,1348.983521,100.193451
40,0.111111,144.736252,-19.757046,175.86412,-264.180359,1450.936035,111.109001,-0.589776,-5.856208,-4.268643,-252.580963,1348.976563,100.195404
41,0.113889,144.756027,-19.661989,175.815964,-264.209106,1450.940796,111.09613,-0.539899,-5.886734,-4.243103,-252.574081,1348.981812,100.208656
42,0.116667,144.774673,-19.549921,175.889084,-264.217133,1450.934204,111.096893,-0.609021,-5.910771,-4.170544,-252.57016,1348.97644,100.207298
43,0.119444,,,,,,,,,,,,
44,0.122222,,,,,,,,,,,,
45,0.125,-2.175905,23.476395,2.649055,-264.183807,1450.28772,109.778191,-0.704539,-5.963573,-4.055309,-252.556976,1348.983398,100.218567
46,0.127778,,,,,,,,,,,,
47,0.130556,,,,,,,,,,,,
48,0.133333,,,,,,,,,,,,
49,0.136111,148.784958,-14.251616,172.519241,-264.875275,1449.288818,110.480942,-1.030028,-6.016334,-4.093047,-252.542343,1349.000488,100.192696
50,0.138889,,,,,,,,,,,,
51,0.141667,144.541122,-19.039898,175.431335,-264.148376,1450.886597,111.031067,-1.238472,-6.005085,-3.999659,-252.528137,1349.002686,100.171326
52,0.144444,144.546997,-16.517296,175.767654,-264.654297,1450.651245,110.610428,-1.374764,-6.00523,-4.11086,-252.529114,1348.996826,100.140007
53,0.147222,144.279205,-18.683527,175.395096,-264.271973,1450.829346,110.969376,-1.472868,-6.006392,-4.093176,-252.545929,1348.981323,100.132217
54,0.15,144.077103,-18.661098,175.454071,-264.271179,1450.84668,110.957184,-1.482924,-6.157885,-3.222607,-252.451752,1348.821289,100.106194
55,0.152778,,,,,,,,,,,,
56,0.155556,,,,,,,,,,,,
57,0.158333,,,,,,,,,,,,
58,0.161111,,,,,,,,,,,,
59,0.163889,,,,,,,,,,,,
60,0.166667,-169.078232,-10.363874,1.325336,-262.382935,1448.382568,111.455589,-1.768484,-6.002049,-3.39175,-252.473206,1348.716187,100.033165
61,0.169444,142.583511,-10.882494,172.129822,-262.529388,1450.306885,111.772522,-1.746554,-5.952058,-3.507189,-252.487427,1348.705078,100.028786
62,0.172222,142.606567,-10.902122,172.135208,-262.521484,1450.313232,111.788124,-1.711348,-5.952874,-3.479082,-252.491531,1348.706543,100.016945
