Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
36,0.1,-85.281853,-77.132301,117.861183,-262.96344,1449.61438,110.974098,-1.337343,-5.838491,-2.671607,-252.141647,1349.040039,100.052917
37,0.102778,148.426971,-14.482661,173.007523,-264.602173,1449.223999,110.199379,-1.303781,-5.83974,-2.617809,-252.140915,1349.043457,100.036118
38,0.105556,-3.883852,22.933825,4.13098,-263.743744,1450.61792,109.263443,-1.291699,-5.83301,-2.666362,-252.148773,1349.049683,100.056053
39,0.108333,-87.741753,-77.78994,117.683739,-262.90976,1449.719238,111.085342,-1.297359,-5.835838,-2.705934,-252.149933,1349.062378,100.049423
40,0.111111,148.491211,-14.470502,173.062103,-264.607025,1449.236938,110.203293,-1.202225,-5.814713,-2.713194,-252.150391,1349.058594,100.050163
41,0.113889,-4.263785,22.966305,4.548483,-263.733948,1450.743408,109.256889,-1.209614,-5.810076,-2.714009,-252.14798,1349.072876,100.052597
42,0.116667,-87.666626,-77.777397,117.72242,-262.916595,1449.737793,111.101685,-1.189987,-5.813804,-2.728591,-252.15062,1349.078735,100.053963
43,0.119444,148.569809,-14.518884,173.062714,-264.604401,1449.254272,110.211342,-0.874184,-5.719095,-2.70123,-252.175476,1349.140381,100.098373
44,0.122222,-4.175334,23.014267,4.55476,-263.73053,1450.767822,109.257477,-0.838454,-5.68968,-2.701893,-252.174286,1349.14563,100.082077
45,0.125,148.836685,-14.669221,173.226761,-264.610931,1449.326538,110.252708,-0.817663,-5.663928,-2.731797,-252.179565,1349.147095,100.096542
46,0.127778,-3.484848,23.057241,3.944824,-263.753815,1450.730103,109.257523,-0.774918,-5.661717,-2.733357,-252.182846,1349.157227,100.112495
47,0.130556,148.948212,-14.567262,173.132217,-264.642731,1449.300415,110.255875,-0.806724,-5.651626,-2.79244,-252.188232,1349.163452,100.116127
48,0.133333,148.813309,-14.737512,173.193253,-264.607819,1449.342651,110.264267,-0.595113,-5.749113,-2.661435,-252.200272,1349.145386,100.113602
