Frame,Time (Seconds),X9_B1,Y,Z,X9_B2,Y,Z
75,0.208333,-264.924042,1449.389526,110.530067,-0.755338,-5.933729,-2.598858
76,0.211111,-264.662323,1449.365356,110.296654,-0.746236,-5.943538,-2.639918
77,0.213889,-264.671814,1449.376465,110.30825,-0.721392,-5.958061,-2.600777
78,0.216667,-264.854675,1449.464722,110.532455,-0.719222,-5.93931,-2.658199
79,0.219444,-264.642212,1449.417603,110.312141,-0.670352,-5.929918,-2.65255
80,0.222222,-264.631348,1449.415649,110.311661,-0.666496,-5.956867,-2.653958
81,0.225,-264.642548,1449.402588,110.321693,-0.653303,-5.93606,-2.645474
82,0.227778,-264.614197,1449.373047,110.278381,-0.890419,-6.051886,-2.710701
83,0.230556,-264.619934,1449.357056,110.282631,-0.579469,-5.956854,-2.640127
84,0.233333,-264.616333,1449.326538,110.275612,-0.832758,-6.048896,-2.752816
85,0.236111,-264.615479,1449.309814,110.281242,-0.842475,-6.051531,-2.706509
86,0.238889,-264.600677,1449.262451,110.298309,-0.79846,-6.052347,-2.720657
87,0.241667,-264.623962,1449.265747,110.291718,-0.785416,-6.07093,-2.701422
88,0.244444,-264.624908,1449.247314,110.291824,-0.775028,-6.052561,-2.806887
89,0.247222,-264.627136,1449.229004,110.292412,-0.747685,-6.050297,-2.684633
90,0.25,-264.65036,1449.19104,110.262314,-0.728068,-6.072033,-2.752313
91,0.252778,-264.634644,1449.201782,110.286736,-0.714675,-6.080431,-2.762203
92,0.255556,-264.237701,1450.779175,110.619164,-0.706449,-6.09737,-2.717694
93,0.258333,-264.647797,1449.143677,110.280609,-0.726202,-6.110546,-2.721104
94,0.261111,-264.85202,1450.231445,110.34346,-0.698364,-6.126846,-2.687236
95,0.263889,-264.651947,1449.144287,110.270912,-0.709902,-6.13609,-2.732873
96,0.266667,-264.905304,1449.023315,110.391777,-0.659481,-6.143963,-2.635072
97,0.269444,-264.673279,1449.25647,110.401276,-0.620333,-6.139542,-2.635675
98,0.272222,-264.636566,1449.185913,110.265953,-0.67199,-6.149858,-2.587853
99,0.275,-264.640991,1449.201904,110.254646,-0.714974,-6.143332,-2.678518
100,0.277778,-264.650818,1449.223755,110.26545,-0.656977,-6.152801,-2.609358
101,0.280556,-264.649384,1449.244995,110.264053,-0.690898,-6.158066,-2.57676
102,0.283333,-264.641327,1449.257813,110.282539,-0.410034,-6.043839,-2.581868
103,0.286111,-264.916107,1449.341919,110.486275,-0.418598,-6.051369,-2.536131
104,0.288889,-264.681885,1449.310669,110.246811,-0.42693,-6.045879,-2.567166
105,0.291667,-264.659912,1449.329346,110.323975,-0.448194,-6.0436,-2.620034
106,0.294444,-264.671448,1449.345093,110.318695,-0.41031,-6.032924,-2.562634
107,0.297222,-264.668121,1449.353027,110.332428,-0.456367,-6.035886,-2.519459
108,0.3,-264.851196,1449.448975,110.550713,-0.456047,-6.028755,-2.628152
109,0.302778,-264.686462,1449.357056,110.274139,-0.057928,-6.029124,-2.95628
110,0.305556,-264.939362,1449.390137,110.504128,-0.508435,-6.009213,-2.566425
111,0.308333,-264.634705,1449.379639,110.343712,-0.534765,-5.995583,-2.612003
112,0.311111,-264.665619,1449.361084,110.300018,-0.564231,-5.992734,-2.58775
113,0.313889,-264.652588,1449.360718,110.376007,-0.520936,-5.984841,-2.600485
114,0.316667,-264.628754,1449.334351,110.335106,-0.564398,-5.971995,-2.589383
115,0.319444,-264.67453,1449.292603,110.308578,-0.823605,-6.070098,-2.702932
116,0.322222,-264.683868,1449.273804,110.299927,-0.540686,-5.965079,-2.592857
117,0.325,-264.642548,1449.290405,110.328506,-0.850004,-6.051704,-2.762073
118,0.327778,-264.698669,1449.236206,110.316162,-0.822554,-6.009527,-2.78966
119,0.330556,-264.691925,1449.218506,110.303253,-0.888391,-6.015005,-2.802643
120,0.333333,-264.68161,1449.202759,110.282082,-1.059786,-5.882183,-3.874375
121,0.336111,-264.696472,1449.196411,110.285454,-0.876363,-6.057546,-2.725375
122,0.338889,-264.704071,1449.190308,110.296974,-0.905554,-6.024052,-2.835529
123,0.341667,-264.678955,1449.17041,110.260666,-0.883647,-6.060649,-2.816728
124,0.344444,-264.694977,1449.166992,110.27774,-0.850296,-6.033835,-2.829072
125,0.347222,-264.677002,1449.169312,110.259331,-0.810754,-6.067977,-2.733418
126,0.35,-264.980225,1450.5354,110.213631,-0.866747,-6.075037,-2.777078
127,0.352778,-265.104828,1449.097412,110.461861,-0.834769,-6.081455,-2.759682
128,0.355556,-264.607666,1449.891968,110.457771,-0.825132,-6.086449,-2.704227
129,0.358333,-264.670776,1449.19519,110.264015,-0.848633,-6.080529,-2.739706
130,0.361111,-265.00296,1449.082031,110.427292,-0.85591,-6.091511,-2.726253
131,0.363889,-264.661743,1449.218506,110.264091,-0.829526,-6.089952,-2.74894
132,0.366667,-264.661774,1449.229858,110.264008,-0.83899,-6.094084,-2.746554
133,0.369444,-264.663483,1449.249268,110.262329,-0.778499,-6.081376,-2.668752
134,0.372222,-264.634735,1449.310913,110.282494,-0.550587,-6.00983,-2.550438
135,0.375,-264.883301,1449.342773,110.522926,-0.819222,-6.129786,-2.685849
136,0.377778,-264.66095,1449.307129,110.292946,-0.552995,-6.004935,-2.627643
137,0.380556,-264.621063,1449.353516,110.287567,-0.606795,-6.001976,-2.640218
138,0.383333,-264.645203,1449.373291,110.321785,-0.617227,-5.993367,-2.531721
139,0.386111,-264.619263,1449.381714,110.303886,-0.555993,-6.012941,-2.577539
140,0.388889,-264.626587,1449.380737,110.316887,-0.660396,-5.985268,-2.628842
141,0.391667,-264.59848,1449.374512,110.277847,-0.944276,-6.029895,-2.703665
142,0.394444,-264.606812,1449.362427,110.290939,-0.691141,-5.947503,-2.618186
143,0.397222,-264.598663,1449.363892,110.289734,-0.993946,-6.02008,-2.688466
144,0.4,-264.618805,1449.358032,110.278175,-0.988435,-5.982645,-2.806335
145,0.402778,-264.627625,1449.294189,110.277328,-1.010451,-5.988216,-2.801942
146,0.405556,-264.602753,1449.309937,110.306725,-1.064101,-5.994794,-2.83554
147,0.408333,-264.616333,1449.306152,110.267998,-1.065792,-5.959823,-2.810914
148,0.411111,-264.651764,1449.248413,110.296562,-1.278821,-5.783449,-3.905407
149,0.413889,-264.64151,1449.227905,110.263329,-1.081579,-5.973345,-2.816492
150,0.416667,-264.62558,1449.256836,110.260643,-1.097883,-5.963589,-2.900587
151,0.419444,-262.950623,1449.211548,111.022141,-1.088008,-5.952013,-2.885118
152,0.422222,-264.150848,1450.846069,110.656502,-1.080764,-5.962185,-2.829829
153,0.425,-262.939362,1449.178467,111.013489,-1.063596,-5.947082,-2.851271
154,0.427778,-262.959473,1449.151001,111.00769,-1.082935,-5.93503,-2.856849
155,0.430556,-262.945221,1449.145996,111.019928,-1.243256,-5.779016,-3.920885
156,0.433333,-262.956024,1449.159058,111.025925,-1.03588,-5.974351,-2.840267
157,0.436111,-262.96759,1449.175537,111.018555,-1.039442,-5.968451,-2.834956
158,0.438889,-264.664764,1449.164551,110.264809,-1.067486,-5.996503,-2.82534
159,0.441667,-263.042908,1449.563721,111.03553,-1.051934,-6.064403,-2.742815
160,0.444444,-264.664215,1449.197632,110.269974,-1.031959,-6.041842,-2.672731
161,0.447222,-263.036682,1449.592407,111.043747,-1.049584,-6.047595,-2.755214
162,0.45,-264.681793,1449.225342,110.2696,-1.098444,-6.033043,-2.759262
163,0.452778,-263.059692,1449.644653,111.042534,-1.091962,-6.045521,-2.775619
164,0.455556,-264.687469,1449.260376,110.278038,-1.074554,-6.04309,-2.71406
165,0.458333,-263.027771,1449.672241,111.043045,-1.095314,-6.046954,-2.768073
166,0.461111,-264.661774,1449.296631,110.257195,-1.127962,-6.044862,-2.74379
167,0.463889,-263.029297,1449.707886,111.041389,-1.147757,-6.020088,-2.813529
168,0.466667,-264.881348,1449.413452,110.493584,-1.200186,-6.045601,-2.747973
169,0.469444,-264.907013,1449.370972,110.493187,-1.215469,-6.032145,-2.767861
170,0.472222,-264.69278,1449.325439,110.289963,-1.240718,-6.018334,-2.780955
171,0.475,-264.66449,1449.379639,110.279335,-1.283139,-6.003459,-2.810078
172,0.477778,-264.684296,1449.317505,110.275398,-1.306592,-5.995634,-2.848927
173,0.480556,-264.683197,1449.317017,110.274643,-1.353233,-6.004397,-2.858039
174,0.483333,-264.920746,1449.353027,110.492546,-1.345897,-5.973805,-2.782747
175,0.486111,-264.687073,1449.286011,110.279396,-1.350641,-5.966006,-2.830447
176,0.488889,-262.987213,1449.368652,111.037949,-1.559182,-5.753329,-3.858369
177,0.491667,-262.979645,1449.286621,111.027267,-1.565446,-5.720099,-3.988558
178,0.494444,-262.98465,1449.322998,111.027008,-1.539624,-5.696208,-3.969687
179,0.497222,-262.990387,1449.238281,111.020515,-1.543982,-5.712962,-4.003108
180,0.5,-262.999268,1449.223877,111.021309,-1.487603,-5.66644,-4.057575
181,0.502778,-263.004395,1449.176514,110.984299,-1.499327,-5.672309,-4.047795
182,0.505556,-263.018707,1449.154175,110.975456,-1.525277,-5.644733,-4.106507
183,0.508333,-263.021545,1449.146362,110.983383,-1.446621,-5.671185,-4.073266
184,0.511111,-263.00415,1449.168091,111.017006,-1.425106,-5.682139,-4.125834
185,0.513889,-263.018921,1449.141235,110.977661,-1.427136,-5.700651,-4.052783
186,0.516667,-263.005249,1449.169922,111.013687,-1.383996,-5.687642,-4.043451
187,0.519444,-263.016693,1449.141357,110.975784,-1.36092,-5.703912,-4.014722
188,0.522222,-262.983154,1449.280396,111.081741,-1.285915,-5.694448,-3.989899
