Frame,Time (Seconds),X,Y,Z,X13_B1,Y13_B1,Z13_B1,X,Y,Z,X13_B2,Y13_B2,Z13_B2
0,0,-2.663287,22.883717,3.864004,-263.792023,1450.247925,109.264359,-1.232742,-5.923611,-3.854121,-252.471924,1349.088013,100.092613
1,0.002778,144.142166,-17.542078,176.359116,-264.386047,1450.842407,110.612366,-1.218388,-5.899682,-3.850484,-252.469238,1349.084961,100.100311
2,0.005556,144.34549,-17.403372,176.251587,-264.398438,1450.762451,110.61525,-1.253809,-5.917263,-3.840852,-252.471054,1349.077881,100.085258
3,0.008333,144.128815,-17.60404,176.420074,-264.365326,1450.840332,110.617409,-1.27039,-5.942482,-3.845916,-252.464676,1349.078491,100.084869
4,0.011111,148.431244,-14.353388,172.89537,-264.715607,1449.22937,110.313293,-1.288713,-5.918724,-3.879422,-252.473358,1349.073486,100.060898
5,0.013889,148.52327,-14.457173,172.813477,-264.688477,1449.199951,110.327896,-1.245763,-5.892222,-3.920162,-252.473114,1349.075195,100.093033
6,0.016667,148.468903,-14.39587,172.947327,-264.704773,1449.218872,110.315796,-1.28185,-5.925926,-3.889603,-252.468414,1349.078613,100.071747
7,0.019444,147.958099,-14.8505,173.21489,-264.612823,1449.379028,110.326195,-1.271237,-5.909094,-3.886484,-252.47052,1349.074585,100.060143
8,0.022222,147.95726,-14.826548,173.246719,-264.622284,1449.384888,110.338715,-1.252309,-5.88123,-3.91408,-252.473297,1349.066772,100.058662
9,0.025,147.940796,-15.103939,173.159271,-264.6875,1449.437866,110.41127,-1.234655,-5.915093,-3.890043,-252.467758,1349.070679,100.053345
10,0.027778,147.967697,-14.868864,173.224503,-264.62204,1449.384644,110.325424,-1.24946,-5.899495,-3.93958,-252.469666,1349.08313,100.056694
11,0.030556,147.992462,-14.838412,173.23201,-264.615723,1449.386963,110.331329,-1.226663,-5.901344,-3.874423,-252.472198,1349.082764,100.06176
12,0.033333,147.922592,-14.881576,173.157303,-264.608795,1449.396729,110.33535,-1.213898,-5.863338,-3.941246,-252.473236,1349.081299,100.049477
13,0.036111,148.010239,-15.048589,173.140137,-264.740204,1449.396973,110.383423,-1.23447,-5.873123,-3.974879,-252.478363,1349.078003,100.047653
