Frame,Time (Seconds),X,Y,Z,X16_B1,Y16_B1,Z16_B1,X,Y,Z,X16_B2,Y16_B2,Z16_B2
0,0,144.989395,-16.237982,176.174133,-264.717804,1450.488892,110.43692,-1.085002,-5.957276,-3.750902,-252.519333,1349.045654,100.114914
1,0.002778,144.450897,-16.877701,176.460281,-264.585876,1450.715942,110.502396,-1.0954,-5.965446,-3.876538,-252.517319,1349.046021,100.127846
2,0.005556,144.215561,-17.899776,176.491806,-264.343445,1450.859497,110.660645,-1.055879,-5.955575,-3.88449,-252.519958,1349.04187,100.131157
3,0.008333,144.30452,-17.569439,176.590134,-264.43515,1450.83606,110.611542,-1.057385,-5.962217,-3.859345,-252.519485,1349.046509,100.109756
4,0.011111,,,,,,,,,,,,
5,0.013889,148.609299,-14.373194,172.857712,-264.734253,1449.228149,110.322212,-1.071311,-5.918622,-3.865202,-252.511322,1349.071655,100.124336
6,0.016667,148.578522,-14.399788,172.828629,-264.741302,1449.237427,110.325478,-1.05058,-5.911294,-3.907794,-252.523575,1349.069702,100.119118
7,0.019444,144.4534,-17.308901,176.299362,-264.455475,1450.77478,110.593918,-1.060817,-5.906799,-3.916218,-252.520111,1349.078735,100.124672
8,0.022222,148.373322,-14.482132,172.891617,-264.718658,1449.309692,110.328789,-1.071374,-5.893211,-3.905283,-252.521835,1349.090454,100.111176
9,0.025,-84.780487,-77.288261,118.022354,-263.083801,1449.661377,111.080345,-1.150443,-5.891613,-3.881294,-252.519012,1349.102539,100.118263
10,0.027778,148.766922,-14.526165,172.790817,-264.911499,1449.301147,110.464722,-1.141825,-5.878315,-3.892069,-252.522766,1349.105103,100.105812
11,0.030556,,,,,,,,,,,,
12,0.033333,143.880341,-20.872833,174.846146,-263.85376,1451.021851,111.442101,-1.124789,-5.846125,-3.889579,-252.524261,1349.113159,100.118813
13,0.036111,143.878799,-20.906885,174.870712,-263.857391,1451.030518,111.431137,-1.154788,-5.866619,-3.889985,-252.514191,1349.12207,100.121193
14,0.038889,148.408234,-14.348471,172.725281,-264.752075,1449.294922,110.3293,-1.199582,-5.822829,-3.992848,-252.515671,1349.116577,100.107109
15,0.041667,,,,,,,,,,,,
16,0.044444,,,,,,,,,,,,
17,0.047222,,,,,,,,,,,,
18,0.05,,,,,,,,,,,,
19,0.052778,,,,,,,,,,,,
20,0.055556,-2.723059,23.439341,2.670148,-264.008057,1450.269653,109.487206,-1.370175,-5.82999,-3.914297,-252.52182,1349.092285,100.080414
21,0.058333,-2.909266,23.504128,3.75431,-263.964752,1450.246582,109.407043,-1.422333,-5.822607,-3.986016,-252.517258,1349.077026,100.082825
22,0.061111,,,,,,,,,,,,
23,0.063889,,,,,,,,,,,,
24,0.066667,,,,,,,,,,,,
25,0.069444,,,,,,,,,,,,
26,0.072222,-86.047485,-79.011162,117.733116,-262.982697,1449.204346,111.070915,-1.388052,-5.869375,-3.957016,-252.533676,1349.046875,100.067009
27,0.075,-85.87162,-79.048683,117.91066,-262.986847,1449.203979,111.06395,-1.388381,-5.894867,-3.997407,-252.535904,1349.042847,100.074295
28,0.077778,146.546967,-14.766297,172.930054,-264.655823,1449.341064,110.317223,-1.402911,-5.886231,-3.982904,-252.54068,1349.03125,100.060677
29,0.080556,,,,,,,,,,,,
30,0.083333,,,,,,,,,,,,
31,0.086111,-86.046135,-79.025528,117.613045,-262.985382,1449.211182,111.08799,-1.306524,-5.913423,-3.88628,-252.531372,1349.046875,100.089836
32,0.088889,-86.029137,-79.003799,117.636551,-262.988281,1449.213989,111.087456,-1.321794,-5.950051,-3.979321,-252.538834,1349.044922,100.09053
33,0.091667,144.263321,-19.883286,175.84491,-263.993469,1450.907471,111.050514,-1.278048,-5.959602,-3.933353,-252.529236,1349.052002,100.084946
34,0.094444,,,,,,,,,,,,
35,0.097222,144.253555,-18.565044,176.081619,-264.146393,1450.852661,110.825478,-1.238142,-5.97591,-3.868559,-252.534927,1349.067383,100.082367
36,0.1,144.266739,-18.094938,176.219986,-264.266327,1450.846924,110.718536,-1.207075,-5.990874,-3.835034,-252.531677,1349.073242,100.084465
37,0.102778,148.416016,-14.613823,172.78244,-264.821472,1449.280396,110.38829,-1.139052,-5.976377,-3.82303,-252.53064,1349.071655,100.085075
38,0.105556,,,,,,,,,,,,
39,0.108333,,,,,,,,,,,,
40,0.111111,,,,,,,,,,,,
41,0.113889,,,,,,,,,,,,
42,0.116667,148.474747,-14.489215,172.756836,-264.707367,1449.286621,110.369827,-1.169539,-5.909286,-3.846266,-252.542343,1349.092163,100.081543
43,0.119444,148.510651,-14.686601,172.6698,-264.809021,1449.291138,110.413956,-1.147708,-5.876514,-3.906829,-252.536453,1349.096069,100.087326
44,0.122222,143.872803,-20.591213,175.399002,-263.997284,1451.062012,111.593819,-1.20046,-5.848918,-3.938092,-252.544876,1349.100952,100.078407
45,0.125,,,,,,,,,,,,
46,0.127778,,,,,,,,,,,,
47,0.130556,143.803345,-21.030218,174.873856,-263.882324,1450.979248,111.476593,-1.208536,-5.818797,-4.014359,-252.547501,1349.095215,100.10817
48,0.133333,143.779648,-21.003317,174.820343,-263.881744,1450.971436,111.46524,-1.20634,-5.81357,-4.038713,-252.54866,1349.086426,100.092537
49,0.136111,143.751022,-21.012466,174.857483,-263.891052,1450.970459,111.462036,-1.216479,-5.80579,-4.03896,-252.550034,1349.0802,100.083755
50,0.138889,143.733505,-21.052801,174.844315,-263.876709,1450.967041,111.471588,-1.230177,-5.801476,-3.997392,-252.554474,1349.075684,100.089317
51,0.141667,,,,,,,,,,,,
52,0.144444,,,,,,,,,,,,
53,0.147222,,,,,,,,,,,,
54,0.15,-2.864707,23.458565,3.670451,-263.960724,1450.211182,109.439499,-1.270247,-5.804122,-4.057686,-252.557571,1349.04126,100.09745
55,0.152778,-3.152209,23.765295,5.26316,-264.036835,1450.170898,109.437645,-1.317967,-5.795135,-4.108785,-252.563797,1349.036621,100.097137
56,0.155556,-3.151903,23.792912,5.311036,-264.037842,1450.169312,109.436546,-1.314828,-5.812017,-4.060935,-252.566254,1349.020752,100.085228
57,0.158333,-3.670753,23.504454,4.924035,-263.999939,1449.99292,109.508713,-1.327404,-5.833029,-4.056462,-252.562943,1349.017212,100.090248
58,0.161111,,,,,,,,,,,,
59,0.163889,-83.845078,-78.741081,120.043976,-263.119324,1449.176514,111.120399,-1.352307,-5.895383,-4.00179,-252.572983,1349.008789,100.098801
60,0.166667,-85.629387,-79.020332,118.174225,-262.998505,1449.164673,111.06826,-1.391799,-5.892639,-4.067939,-252.568481,1349.009766,100.092155
61,0.169444,-85.744263,-79.03511,118.032005,-262.987701,1449.166992,111.074532,-1.409417,-5.914318,-4.024051,-252.578949,1349.007202,100.075859
62,0.172222,-85.57856,-79.017044,118.103531,-262.994354,1449.173462,111.069649,-1.458287,-5.898702,-4.079478,-252.586182,1349.01355,100.098167
63,0.175,-85.682602,-78.998642,118.01683,-262.991699,1449.179321,111.066826,-1.422866,-5.914803,-4.009096,-252.582855,1349.005127,100.074738
64,0.177778,-85.48362,-79.000145,118.230751,-263.020325,1449.184082,111.073219,-1.375178,-5.936172,-4.029812,-252.588715,1349.01416,100.086182
65,0.180556,-85.735023,-79.030067,117.969543,-263.00238,1449.19104,111.077248,-1.286167,-6.138478,-3.034442,-252.507629,1348.871948,100.082237
66,0.183333,,,,,,,,,,,,
67,0.186111,,,,,,,,,,,,
68,0.188889,,,,,,,,,,,,
69,0.191667,,,,,,,,,,,,
70,0.194444,144.237213,-19.734615,175.824585,-264.043549,1450.90564,111.012794,-1.310441,-5.949692,-3.917701,-252.583557,1349.05188,100.08268
71,0.197222,144.488647,-19.623486,175.457428,-264.053406,1450.802856,111.017784,-1.274917,-5.947944,-3.94241,-252.593307,1349.059082,100.096436
72,0.2,144.196396,-17.577612,176.713409,-264.596069,1450.958374,110.912682,-1.277625,-5.984917,-3.823564,-252.585922,1349.070313,100.088989
73,0.202778,148.489975,-14.613099,172.833847,-264.838135,1449.275024,110.380089,-1.270278,-5.958661,-3.975936,-252.580109,1349.072754,100.090721
74,0.205556,,,,,,,,,,,,
75,0.208333,,,,,,,,,,,,
76,0.211111,148.351395,-14.460509,172.869812,-264.738342,1449.285278,110.329094,-1.20145,-5.900841,-4.051794,-252.581238,1349.080444,100.095444
77,0.213889,-2.460255,23.329588,2.206735,-264.00415,1450.22998,109.526222,-1.197205,-5.833879,-4.059161,-252.583923,1349.081665,100.0951
78,0.216667,-2.444253,23.327415,2.164807,-264.002045,1450.227905,109.521873,-1.190375,-5.86578,-4.026651,-252.581024,1349.076538,100.109924
79,0.219444,,,,,,,,,,,,
80,0.222222,,,,,,,,,,,,
81,0.225,,,,,,,,,,,,
82,0.227778,-2.642098,23.412767,2.562613,-264.011932,1450.226563,109.512665,-1.160376,-5.76978,-4.077094,-252.566345,1349.058228,100.099693
83,0.230556,-2.77212,23.482729,3.562936,-263.973755,1450.211304,109.429359,-1.220317,-5.753687,-4.19195,-252.570602,1349.047363,100.106239
84,0.233333,-2.821124,23.472805,3.589885,-263.96756,1450.207764,109.43663,-1.191252,-5.729379,-4.222882,-252.574951,1349.043213,100.114372
85,0.236111,,,,,,,,,,,,
86,0.238889,,,,,,,,,,,,
87,0.241667,-2.843337,23.469692,3.606765,-263.96582,1450.191528,109.430824,-1.265673,-5.760673,-4.17505,-252.569382,1349.029419,100.097923
88,0.244444,,,,,,,,,,,,
89,0.247222,,,,,,,,,,,,
90,0.25,,,,,,,,,,,,
91,0.252778,,,,,,,,,,,,
92,0.255556,,,,,,,,,,,,
93,0.258333,-3.116223,23.694939,5.154881,-264.050354,1450.166626,109.424179,-1.208306,-5.860504,-4.061722,-252.550186,1349.042969,100.081856
94,0.261111,148.39772,-14.500523,173.005966,-264.730469,1449.244141,110.328766,-1.239201,-5.886699,-4.0509,-252.5439,1349.041992,100.084984
95,0.263889,144.213104,-19.892221,175.954895,-264.013275,1450.938599,111.014473,-1.256348,-5.897321,-4.03911,-252.545807,1349.054443,100.090332
96,0.266667,148.44664,-14.504186,173.001831,-264.717346,1449.254272,110.334579,-1.206135,-5.93465,-3.891646,-252.534805,1349.064453,100.08046
97,0.269444,148.483124,-14.483605,172.914688,-264.713654,1449.237061,110.346954,-1.218788,-5.965043,-3.84669,-252.534805,1349.079102,100.086418
98,0.272222,148.409821,-14.404702,172.971146,-264.730896,1449.265625,110.331665,-1.210197,-5.974329,-3.839707,-252.532333,1349.080566,100.091759
99,0.275,,,,,,,,,,,,
100,0.277778,,,,,,,,,,,,
101,0.280556,,,,,,,,,,,,
102,0.283333,,,,,,,,,,,,
103,0.286111,,,,,,,,,,,,
104,0.288889,148.458588,-14.416678,172.972961,-264.726105,1449.277588,110.335976,-1.168867,-5.958707,-3.824867,-252.523483,1349.089844,100.080788
105,0.291667,148.449677,-14.413091,172.993546,-264.723663,1449.282471,110.345901,-1.219985,-5.962505,-3.845736,-252.524582,1349.108643,100.082306
106,0.294444,148.397018,-14.437439,172.904175,-264.731018,1449.291626,110.335075,-1.196717,-5.937361,-3.916535,-252.525681,1349.0979,100.098923
107,0.297222,,,,,,,,,,,,
108,0.3,,,,,,,,,,,,
109,0.302778,148.408676,-14.448641,172.977142,-264.749512,1449.281494,110.361221,-1.22695,-5.843412,-4.049082,-252.53624,1349.087891,100.083893
110,0.305556,148.403473,-14.506765,172.957611,-264.744812,1449.283447,110.353508,-1.132938,-5.844567,-3.886486,-252.522522,1349.091553,100.103882
111,0.308333,,,,,,,,,,,,
112,0.311111,148.530899,-14.766326,172.825623,-264.859772,1449.273193,110.460266,-1.148516,-5.801375,-3.990271,-252.520447,1349.098633,100.108223
113,0.313889,144.214676,-20.213755,175.716675,-263.963806,1450.956177,111.100388,-1.142926,-5.777349,-4.040749,-252.524353,1349.089355,100.111
114,0.316667,143.781174,-20.670752,175.379547,-264.002594,1451.024536,111.6045,-1.091542,-5.761457,-4.068145,-252.533524,1349.078491,100.104935
115,0.319444,,,,,,,,,,,,
116,0.322222,-2.646427,23.490709,2.392605,-263.992981,1450.246338,109.542816,-1.119533,-5.729021,-4.048968,-252.534775,1349.077148,100.10363
117,0.325,-2.788604,23.510395,3.494931,-263.966431,1450.20813,109.441597,-1.107381,-5.741783,-4.054755,-252.526703,1349.079956,100.108376
118,0.327778,,,,,,,,,,,,
119,0.330556,,,,,,,,,,,,
120,0.333333,,,,,,,,,,,,
