Format Version,1.23,Take Name,Yuri_prueba3_008,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-10-24 03.34.54.705 P. M.,Total Frames in Take,10973,Total Exported Frames,10973,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002
,ID,"903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
33,0.091667,148.373093,-14.456213,172.687347,-264.594147,1449.337891,110.298325,-0.916086,-6.072523,-2.770649,-252.240509,1349.039551,100.084091
34,0.094444,148.730865,-14.467259,172.821396,-264.628937,1449.369141,110.298790,-0.911830,-6.093242,-2.637341,-252.237732,1349.050537,100.094818
35,0.097222,148.725922,-14.465994,172.840317,-264.626678,1449.370361,110.295242,-0.636967,-5.965125,-2.538358,-252.257645,1349.118286,100.117073
36,0.100000,148.743958,-14.502955,172.847168,-264.623993,1449.374146,110.283524,-0.652282,-5.961738,-2.613561,-252.265549,1349.112427,100.123268
37,0.102778,148.768372,-14.458146,172.857559,-264.634644,1449.372070,110.295685,-0.923395,-6.066768,-2.735939,-252.237976,1349.054565,100.104393
38,0.105556,148.815598,-14.456107,172.913788,-264.637634,1449.365356,110.307068,-0.672110,-5.959002,-2.577416,-252.265427,1349.115479,100.109497
39,0.108333,148.763885,-14.462276,172.906006,-264.634521,1449.363403,110.300385,-0.632634,-5.962322,-2.622730,-252.263702,1349.107910,100.122551
40,0.111111,148.489365,-14.251280,172.776459,-264.652924,1449.299561,110.267700,-0.979437,-6.046515,-2.774145,-252.245880,1349.046875,100.080322
41,0.113889,148.516388,-14.272462,172.799622,-264.664703,1449.284668,110.261024,-0.990617,-6.025662,-2.770185,-252.259140,1349.041138,100.076981
42,0.116667,148.397568,-14.450711,172.896057,-264.622742,1449.315918,110.273666,-1.007494,-6.031193,-2.764629,-252.259338,1349.031860,100.075745
