Frame,Time (Seconds),X,Y,Z,X6_B1,Y6_B1,Z6_B1,X,Y,Z,X6_B2,Y6_B2,Z6_B2
0,0,148.565262,-14.695475,173.244446,-264.588959,1449.213135,110.25177,-0.590943,-6.061388,-2.578161,-252.270615,1348.984375,100.10421
1,0.002778,148.629959,-14.664872,173.289719,-264.590759,1449.200317,110.24221,-0.597058,-6.082056,-2.50953,-252.268768,1348.988159,100.092361
2,0.005556,148.648376,-14.682054,173.312912,-264.594482,1449.185791,110.239075,-0.592796,-6.108764,-2.505509,-252.267593,1348.981079,100.094833
3,0.008333,148.635147,-14.731978,173.290298,-264.584106,1449.194092,110.22863,-0.660293,-6.09701,-2.603687,-252.275818,1348.985718,100.080742
4,0.011111,148.649673,-14.728301,173.311111,-264.571716,1449.182861,110.240082,-0.599791,-6.125735,-2.487384,-252.259048,1348.969116,100.088593
5,0.013889,148.638138,-14.707283,173.304886,-264.574738,1449.188232,110.232346,-0.603081,-6.149805,-2.45089,-252.259079,1348.973633,100.072922
6,0.016667,148.635941,-14.702786,173.318298,-264.576813,1449.192993,110.231354,-0.70804,-6.179059,-2.445573,-252.259018,1348.980347,100.062386
7,0.019444,148.609421,-14.66222,173.348312,-264.577881,1449.19165,110.215836,-0.761162,-6.184699,-2.459137,-252.254608,1348.989258,100.061005
8,0.022222,148.62735,-14.675942,173.343781,-264.577881,1449.204346,110.224663,-0.811,-6.183567,-2.399106,-252.245193,1349.001221,100.050903
9,0.025,148.546539,-14.696855,173.309845,-264.558441,1449.218384,110.211098,-0.903999,-6.179859,-2.398233,-252.24614,1349.002686,100.035301
10,0.027778,148.044113,-15.052846,173.539001,-264.481812,1449.371338,110.242485,-1.0192,-6.156083,-2.433408,-252.254807,1349.017456,100.035324
11,0.030556,147.985504,-15.038659,173.537689,-264.505707,1449.379028,110.238525,-1.099529,-6.145962,-2.428157,-252.233887,1349.010498,100.023643
12,0.033333,147.908752,-14.994411,173.516006,-264.508423,1449.388916,110.235428,-1.364806,-6.053212,-2.505999,-252.214706,1349.052979,100.021835
