0,0.000000,148.429230,-14.425358,172.851303,-264.602020,1449.245239,110.204918,-0.952996,-5.972073,-2.533416,-252.176071,1349.035400,100.101311
1,0.002778,148.325119,-14.552341,172.940674,-264.573792,1449.281250,110.204712,-0.972774,-5.946603,-2.550516,-252.178940,1349.035767,100.103348
2,0.005556,148.416931,-14.433354,172.801392,-264.598969,1449.254272,110.182671,-0.933951,-5.972456,-2.575927,-252.177887,1349.033081,100.112068
3,0.008333,148.292099,-14.560913,172.948059,-264.573975,1449.301636,110.208321,-0.973794,-5.949230,-2.527450,-252.179916,1349.046509,100.115540
4,0.011111,148.276901,-14.565063,172.916748,-264.576385,1449.303711,110.203354,-0.994631,-5.945557,-2.601598,-252.187134,1349.057129,100.128510
5,0.013889,148.437637,-14.442634,172.829651,-264.605072,1449.269287,110.199341,-0.666003,-5.868632,-2.423537,-252.204239,1349.118286,100.150757
6,0.016667,148.317398,-14.587275,172.885529,-264.581360,1449.325806,110.206322,-0.703712,-5.863366,-2.453359,-252.205734,1349.127197,100.153648
7,0.019444,148.320282,-14.568933,172.894684,-264.568451,1449.332520,110.217842,-0.699123,-5.838199,-2.541575,-252.202011,1349.123657,100.142509
8,0.022222,148.310867,-14.559484,172.885529,-264.571014,1449.333252,110.210495,-0.654091,-5.852554,-2.533369,-252.200302,1349.130981,100.144409
9,0.025000,148.327484,-14.611597,172.889359,-264.570465,1449.334839,110.216553,-0.623586,-5.840476,-2.480335,-252.204056,1349.130249,100.137405
10,0.027778,148.343231,-14.603305,172.912354,-264.565308,1449.334717,110.201622,-0.641005,-5.843195,-2.456816,-252.197205,1349.142212,100.153473
11,0.030556,148.334152,-14.625975,172.919922,-264.560028,1449.338989,110.208443,-0.621725,-5.847756,-2.506437,-252.197083,1349.142456,100.157143
12,0.033333,148.335800,-14.623401,172.924683,-264.566742,1449.334106,110.222031,-0.619710,-5.831720,-2.478176,-252.195679,1349.135132,100.142601
13,0.036111,148.347839,-14.614306,172.945877,-264.555847,1449.328369,110.211220,-0.615023,-5.849333,-2.485858,-252.190704,1349.134521,100.160049
14,0.038889,148.373978,-14.694234,172.942291,-264.559021,1449.321533,110.214813,-0.609478,-5.828086,-2.514987,-252.195953,1349.131226,100.147568
