Frame,Time (Seconds),X,Y,Z,X15_B1,Y15_B1,Z15_B1,X,Y,Z,X15_B2,Y15_B2,Z15_B2
0,0,,,,,,,,,,,,
1,0.002778,,,,,,,,,,,,
2,0.005556,,,,,,,,,,,,
3,0.008333,,,,,,,,,,,,
4,0.011111,148.348373,-14.623722,173.000916,-264.635162,1449.270142,110.332733,-1.283081,-5.935476,-3.696923,-252.508942,1349.141602,100.105362
5,0.013889,148.213501,-14.509286,173.041061,-264.676056,1449.299927,110.322342,-1.243424,-5.947607,-3.630248,-252.509827,1349.14624,100.112564
6,0.016667,,,,,,,,,,,,
7,0.019444,,,,,,,,,,,,
8,0.022222,148.28537,-14.501106,173.023239,-264.639832,1449.309082,110.303093,-1.213568,-5.96877,-3.574378,-252.500183,1349.16272,100.085419
9,0.025,148.343323,-14.465289,173.063889,-264.647217,1449.307495,110.3116,-1.230207,-5.977921,-3.578043,-252.505539,1349.165527,100.092133
10,0.027778,148.316559,-14.477915,173.020737,-264.6521,1449.312378,110.308197,-1.261439,-6.004836,-3.623298,-252.503571,1349.168945,100.092857
11,0.030556,148.319855,-14.492055,173.033569,-264.648956,1449.305908,110.302917,-1.235148,-6.008673,-3.545638,-252.506378,1349.17041,100.08683
12,0.033333,,,,,,,,,,,,
13,0.036111,,,,,,,,,,,,
14,0.038889,148.293167,-14.478654,173.048798,-264.66333,1449.286743,110.305336,-1.238745,-6.007383,-3.592105,-252.509918,1349.142822,100.100502
15,0.041667,148.286972,-14.520983,173.032135,-264.658356,1449.275635,110.305481,-1.17374,-6.007742,-3.550407,-252.510941,1349.128174,100.1063
16,0.044444,148.304352,-14.498089,173.064743,-264.672363,1449.262207,110.302498,-1.220065,-5.963702,-3.648487,-252.518387,1349.121216,100.10817
17,0.047222,,,,,,,,,,,,
18,0.05,148.285126,-14.509021,173.079086,-264.687225,1449.244019,110.333488,-1.248673,-5.973825,-3.709584,-252.531921,1349.097656,100.109993
19,0.052778,148.286163,-14.581326,173.104797,-264.680939,1449.227173,110.315201,-1.262239,-5.964579,-3.702678,-252.539688,1349.087769,100.10778
20,0.055556,144.105148,-18.585274,176.345718,-264.155273,1450.832275,110.755783,-1.235069,-5.940728,-3.753747,-252.534424,1349.077759,100.104156
21,0.058333,-2.865274,23.457569,3.529479,-263.931427,1450.178345,109.402435,-1.24751,-5.919101,-3.711769,-252.546783,1349.072144,100.107063
22,0.061111,-85.833641,-77.664726,117.436691,-262.983582,1449.409424,111.005959,-1.196376,-5.925925,-3.750432,-252.544373,1349.062866,100.124184
23,0.063889,143.678589,-21.179289,175.106369,-263.842651,1450.916504,111.429031,-1.193251,-5.914699,-3.698079,-252.551132,1349.057861,100.107658
24,0.066667,-2.870574,23.443727,3.473762,-263.927582,1450.168335,109.395905,-1.221831,-5.89831,-3.798212,-252.548691,1349.054443,100.113487
25,0.069444,,,,,,,,,,,,
26,0.072222,148.29924,-14.710949,173.030151,-264.666138,1449.2052,110.32547,-1.269687,-5.879378,-3.815712,-252.553909,1349.074707,100.10379
27,0.075,-2.736345,23.012449,3.621773,-263.776337,1450.206177,109.229523,-1.217446,-5.881042,-3.75474,-252.549347,1349.066406,100.111763
28,0.077778,,,,,,,,,,,,
29,0.080556,144.130966,-19.052719,176.363739,-264.050537,1450.880249,110.80674,-1.175454,-5.900548,-3.720847,-252.539963,1349.084595,100.111481
30,0.083333,148.343094,-14.661442,173.125122,-264.679291,1449.250244,110.295097,-1.240727,-5.889357,-3.778917,-252.548035,1349.092896,100.086884
31,0.086111,-84.391281,-76.770523,118.626877,-263.078888,1449.633301,111.051392,-1.26431,-5.914387,-3.81215,-252.545029,1349.110962,100.09716
32,0.088889,,,,,,,,,,,,
33,0.091667,,,,,,,,,,,,
34,0.094444,,,,,,,,,,,,
35,0.097222,-84.657127,-76.838097,118.312172,-263.065033,1449.664185,111.043182,-1.281343,-5.940579,-3.668156,-252.554871,1349.142944,100.084557
36,0.1,148.247803,-14.568126,173.081741,-264.667572,1449.291382,110.294601,-1.305631,-5.9634,-3.699233,-252.545563,1349.148315,100.08786
