Format Version,1.23,Take Name,Yuri_prueba3_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-10-24 03.30.26.113 P. M.,Total Frames in Take,10996,Total Exported Frames,10996,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002
,ID,"903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,148.171387,-14.501726,172.868011,-264.598175,1449.314941,110.238800,-1.061257,-5.949301,-2.623893,-252.194321,1349.052612,100.066544
1,0.002778,148.151718,-14.506098,172.821548,-264.584625,1449.321045,110.231674,-1.076453,-5.939065,-2.570668,-252.195175,1349.064453,100.079025
2,0.005556,148.168106,-14.480114,172.811569,-264.601532,1449.324585,110.225838,-1.114103,-5.922700,-2.609189,-252.200760,1349.076416,100.066750
3,0.008333,148.310928,-14.362384,172.730286,-264.625946,1449.280762,110.231804,-0.819484,-5.828569,-2.555107,-252.224380,1349.126221,100.101822
4,0.011111,148.143478,-14.506651,172.818573,-264.601654,1449.326660,110.228188,-0.817261,-5.824352,-2.577198,-252.228470,1349.128418,100.102333
5,0.013889,148.238434,-14.489806,172.877930,-264.607727,1449.325684,110.247925,-0.787973,-5.840238,-2.525735,-252.221619,1349.138306,100.120453
6,0.016667,148.188065,-14.488044,172.844055,-264.599854,1449.333496,110.243958,-1.084755,-5.909227,-2.663547,-252.206329,1349.074219,100.080467
7,0.019444,148.223755,-14.507977,172.856781,-264.598328,1449.326416,110.227203,-1.032329,-5.914537,-2.660918,-252.199448,1349.073730,100.076271
8,0.022222,148.205048,-14.553318,172.887939,-264.591248,1449.320190,110.232315,-1.035841,-5.909484,-2.647729,-252.207458,1349.069458,100.071411
