Frame,Time (Seconds),X,Y,Z,X14_B1,Y14_B1,Z14_B1,X,Y,Z,X14_B2,Y14_B2,Z14_B2
0,0,148.841415,-13.751521,172.268112,-264.856323,1449.144043,110.385704,-0.83019,-6.052455,-3.305476,-252.520676,1349.181885,100.155609
1,0.002778,148.817108,-12.840869,172.465271,-265.010101,1449.188721,110.515335,-1.109723,-6.19059,-3.40066,-252.493179,1349.12561,100.131523
2,0.005556,148.76152,-13.729602,172.142365,-264.795563,1449.1427,110.323219,-1.191838,-6.195417,-3.350714,-252.490845,1349.122925,100.11676
3,0.008333,148.802643,-12.827256,172.426941,-264.991119,1449.174316,110.49115,-1.189465,-6.201482,-3.395404,-252.489182,1349.112915,100.11908
4,0.011111,148.713699,-13.71252,172.164566,-264.824829,1449.129517,110.341309,-1.211189,-6.173044,-3.433768,-252.494217,1349.108154,100.110527
5,0.013889,148.782074,-12.810431,172.444885,-264.992554,1449.170654,110.496361,-1.238692,-6.21185,-3.4623,-252.488525,1349.121582,100.114288
6,0.016667,148.781555,-13.771388,172.195206,-264.810852,1449.114502,110.317245,-1.237063,-6.183003,-3.445998,-252.493118,1349.115967,100.113968
7,0.019444,148.787445,-12.844993,172.492218,-265.013275,1449.157104,110.500206,-1.205761,-6.165859,-3.439498,-252.486801,1349.111572,100.101646
8,0.022222,148.569153,-14.006887,172.463898,-264.827393,1449.231812,110.414955,-1.169033,-6.157371,-3.523058,-252.479202,1349.102905,100.110306
9,0.025,,,,,,,,,,,,
10,0.027778,148.654282,-14.084297,172.541458,-264.798126,1449.212524,110.421692,-1.079562,-6.088057,-3.598972,-252.471359,1349.095703,100.107208
11,0.030556,148.323868,-14.412104,172.854126,-264.667999,1449.272217,110.294762,-1.044213,-6.102257,-3.60475,-252.474869,1349.09314,100.104919
12,0.033333,148.411469,-14.464833,172.90213,-264.654541,1449.265381,110.294708,-0.970837,-6.065904,-3.568765,-252.474487,1349.089722,100.103523
13,0.036111,148.465393,-14.513842,172.916138,-264.661652,1449.263916,110.288643,-0.921662,-6.045935,-3.6034,-252.467606,1349.085205,100.112892
14,0.038889,148.559341,-14.590538,172.892532,-264.628174,1449.236572,110.305283,-0.859036,-6.014961,-3.634368,-252.458359,1349.082031,100.113297
15,0.041667,148.568054,-14.586186,173.05632,-264.657715,1449.255127,110.313263,-0.73812,-6.035295,-3.58551,-252.459412,1349.079956,100.133698
16,0.044444,,,,,,,,,,,,
17,0.047222,,,,,,,,,,,,
18,0.05,148.416824,-14.783593,173.084137,-264.568848,1449.361938,110.369202,-0.632534,-5.977933,-3.668361,-252.45401,1349.078857,100.137589
19,0.052778,147.937042,-15.606141,173.134186,-264.472321,1449.595825,110.501968,-0.254859,-5.87632,-3.532967,-252.469116,1349.132324,100.177818
20,0.055556,147.953537,-15.49192,173.034836,-264.474548,1449.585327,110.493385,-0.259607,-5.894567,-3.515848,-252.467804,1349.146606,100.206322
21,0.058333,148.058792,-15.454828,172.980927,-264.487579,1449.570435,110.481079,-0.274222,-5.911161,-3.41883,-252.460953,1349.158203,100.219177
22,0.061111,147.38591,-15.914704,173.303436,-264.434753,1449.760864,110.537643,-0.288001,-5.925131,-3.39775,-252.468979,1349.155151,100.198013
23,0.063889,149.088257,-14.556641,172.983887,-264.773804,1449.293091,110.402466,-0.266176,-5.924772,-3.431023,-252.465225,1349.163086,100.212303
24,0.066667,,,,,,,,,,,,
25,0.069444,147.604523,-15.552601,173.057632,-264.487793,1449.71936,110.51709,-0.262829,-5.932026,-3.377859,-252.469513,1349.173828,100.199059
26,0.072222,,,,,,,,,,,,
27,0.075,,,,,,,,,,,,
28,0.077778,,,,,,,,,,,,
29,0.080556,148.882416,-14.29927,172.738266,-264.731049,1449.379761,110.364746,0.577895,-6.282709,-3.394531,-252.322113,1349.383423,100.337143
30,0.083333,148.913208,-14.256858,172.736069,-264.695465,1449.380615,110.326782,0.537787,-6.342145,-3.36608,-252.31778,1349.393677,100.327171
31,0.086111,148.849976,-14.241966,172.707062,-264.704437,1449.393555,110.338745,0.537764,-6.35691,-3.375832,-252.310638,1349.401611,100.346138
32,0.088889,148.887665,-13.386575,172.978012,-264.896912,1449.435669,110.538002,0.482009,-6.359217,-3.363553,-252.307175,1349.404541,100.333267
33,0.091667,148.898346,-14.227706,172.68866,-264.673065,1449.393555,110.315994,0.471488,-6.404666,-3.359919,-252.299759,1349.400146,100.337456
34,0.094444,148.837494,-14.223249,172.687881,-264.700775,1449.396118,110.33712,0.409893,-6.384135,-3.334919,-252.298035,1349.409912,100.312805
35,0.097222,148.868454,-14.24573,172.698593,-264.687103,1449.376343,110.331375,0.377025,-6.37305,-3.350036,-252.295853,1349.392578,100.328926
36,0.1,148.811264,-14.241632,172.717194,-264.69104,1449.375,110.332809,-0.489343,-6.222015,-2.375444,-252.377533,1349.118286,100.183289
37,0.102778,,,,,,,,,,,,
38,0.105556,,,,,,,,,,,,
39,0.108333,,,,,,,,,,,,
40,0.111111,148.989624,-14.350021,172.904343,-264.670929,1449.303467,110.316544,-0.536346,-6.1858,-2.46874,-252.366119,1349.076172,100.175232
41,0.113889,148.659439,-14.404931,172.849274,-264.666626,1449.256226,110.241539,-0.556317,-6.170298,-2.497492,-252.364212,1349.063477,100.172035
