"","t","x1","y1","z1","x2","y2","z2"
"62",0.169444,-264.050969,1449.344971,110.3265914,-252.1929718,1349.058618,100.0695176
"63",0.172222,-263.9233799,1449.485181,110.6630754,-252.1953856,1349.061597,100.0736864
"64",0.175,-264.2829092,1449.293409,110.1521348,-252.1939514,1349.060181,100.07054
"65",0.177778,-264.203206,1449.367651,110.3267762,-252.1949004,1349.056689,100.0716796
"66",0.180556,-264.3771165,1449.599219,110.1885252,-252.1967622,1349.046582,100.0659532
"67",0.183333,-264.1125259,1449.469092,110.5167482,-252.1937926,1349.055493,100.0702102
"68",0.186111,-264.1890501,1449.26272,110.177472,-252.1926818,1349.055932,100.070619
"69",0.188889,-264.0392615,1449.42607,110.495566,-252.194528,1349.059863,100.069774
"70",0.191667,-264.1828735,1449.570068,110.1798646,-252.1924346,1349.065454,100.0687852
"71",0.194444,-264.3117853,1449.372192,110.3346068,-252.1902526,1349.058984,100.0781144
"72",0.197222,-264.1788245,1449.291943,110.1704468,-252.1920806,1349.065991,100.071675
"73",0.2,-264.3447539,1449.371509,110.334456,-252.1927798,1349.062183,100.0666152
"74",0.202778,-264.2040253,1448.995019,110.4689026,-252.1923158,1349.064551,100.0779022
"75",0.205556,-264.3631184,1449.377759,110.336896,-252.2068542,1349.072705,100.08714
"76",0.208333,-264.2109696,1449.679345,110.3560942,-252.20159,1349.081982,100.0874848
"77",0.211111,-264.3744766,1449.387012,110.3411178,-252.203903,1349.079956,100.0876314
"78",0.213889,-264.168509,1449.006006,110.4826218,-252.2054168,1349.078638,100.0852786
"79",0.216667,-263.9328681,1449.1052,110.783281,-252.2061586,1349.07998,100.092917
"80",0.219444,-264.2058158,1448.982495,110.4811296,-252.2087952,1349.089136,100.0900148
"81",0.222222,-263.9815945,1449.139063,110.7880694,-252.2206544,1349.092505,100.0928802
"82",0.225,-264.1163374,1449.28772,110.534682,-252.2169434,1349.09563,100.088394
"83",0.227778,-264.1460264,1449.051026,110.6366166,-252.2133302,1349.09751,100.0958526
"84",0.230556,-264.3645379,1449.480517,109.991336,-252.2213412,1349.097412,100.097908
"85",0.233333,-264.1344392,1449.446314,110.51698,-252.2197144,1349.090869,100.093846
"86",0.236111,-264.3581218,1448.994604,110.4649156,-252.2154998,1349.082153,100.0843032
"87",0.238889,-264.1668519,1448.981397,110.4805448,-252.2182464,1349.090796,100.0973844
"88",0.241667,-264.1996631,1449.05354,110.6347792,-252.2166626,1349.092163,100.0927764
"89",0.244444,-264.407438,1449.283081,110.1906466,-252.2077728,1349.073877,100.0822386
"90",0.247222,-264.2500651,1449.457446,110.5088058,-252.2084746,1349.068555,100.0698962
"91",0.25,-264.5567888,1449.278247,110.1919282,-252.2066224,1349.065576,100.0807176
"92",0.252778,-264.1310704,1449.061523,110.6056,-252.2061706,1349.068335,100.0805252
"93",0.255556,-264.1923801,1448.982568,110.4687166,-252.204666,1349.071289,100.0684648
"94",0.258333,-264.2639135,1449.382325,110.336348,-252.2076782,1349.075391,100.077028
"95",0.261111,-264.1181278,1449.011182,110.4754092,-252.2023926,1349.06897,100.0729782
"96",0.263889,-264.4152803,1449.3,110.1902756,-252.2071656,1349.076465,100.0810496
"97",0.266667,-264.3261524,1449.380249,110.3458392,-252.2057402,1349.070825,100.0809874
"98",0.269444,-264.4663817,1449.302954,110.17258,-252.2032682,1349.066211,100.0770478
"99",0.272222,-264.5325351,1449.296704,110.1897356,-252.2044556,1349.067138,100.076848
"100",0.275,-264.3850063,1449.298926,110.1737032,-252.2056762,1349.069458,100.0766954
"101",0.277778,-264.3012575,1449.298218,110.189638,-252.2032104,1349.068823,100.07921
"102",0.280556,-264.4229036,1449.299487,110.1612838,-252.2043122,1349.070556,100.078682
"103",0.283333,-264.1384006,1448.994336,110.4635422,-252.2050534,1349.063818,100.0818344
"104",0.286111,-264.5153352,1449.29646,110.1753938,-252.2077544,1349.065674,100.0863342
"105",0.288889,-264.3512168,1449.287769,110.1800676,-252.2106322,1349.063965,100.0830628
"106",0.291667,-264.441152,1449.285254,110.1830614,-252.2019196,1349.050073,100.0812316
